Name,Field Time,Position_DEF,Position_FWD,Position_GKP,Position_MID,Foot_left,Foot_right
Granero,46,0,0,0,1,0,1
Jurado,46,0,0,0,1,0,1
V\u00edctor S\u00e1nchez,68,0,0,0,1,0,1
Aar\u00f3n,90,1,0,0,0,1,0
Pau L\u00f3pez,90,0,0,1,0,1,0
C. S\u00e1nchez,90,0,0,0,1,0,1
David L\u00f3pez,90,1,0,0,0,0,1
\u00d3. Duarte,90,1,0,0,0,0,1
Sergi Darder,90,0,0,0,1,0,1
Gerard Moreno,90,0,1,0,0,1,0
Sergio Garc\u00eda,90,0,1,0,0,0,1
\u00d3scar Melendo,44,0,0,0,1,1,0
P. Piatti,44,0,1,0,0,1,0
Marc Navarro,22,1,0,0,0,0,1
