Source,Target,Weight
F. S\u00f8rensen,M. Risse,3
Y. \u014csako,M. Risse,3
M. Risse,Y. \u014csako,2
V. Koziello,D. Heintz,2
M. H\u00f6ger,Y. \u014csako,2
M. H\u00f6ger,F. S\u00f8rensen,2
V. Koziello,J. Hector,2
J. Hector,V. Koziello,2
J. Hector,C. Pizarro,1
V. Koziello,L. Bittencourt,1
C. Pizarro,V. Koziello,1
L. Bittencourt,M. H\u00f6ger,1
L. Bittencourt,Y. \u014csako,1
M. Risse,F. S\u00f8rensen,1
Jorge Mer\u00e9,F. S\u00f8rensen,1
F. S\u00f8rensen,T. Horn,1
D. Heintz,Jorge Mer\u00e9,1
M. H\u00f6ger,J. Hector,1
M. Risse,D. Heintz,1
Y. \u014csako,J. Hector,1
J. Hector,L. Bittencourt,1
J. Hector,M. Risse,1
D. Heintz,F. S\u00f8rensen,1
J. Hector,D. Heintz,1
L. Bittencourt,V. Koziello,1
L. Bittencourt,M. Risse,1
V. Koziello,M. H\u00f6ger,1
M. Risse,J. Hector,1
T. Horn,V. Koziello,1
D. Heintz,L. Bittencourt,1
D. Heintz,S. Terodde,1
F. S\u00f8rensen,M. H\u00f6ger,1
M. Risse,M. H\u00f6ger,1
S. Terodde,M. H\u00f6ger,1
M. Risse,L. Bittencourt,1
Y. \u014csako,V. Koziello,1
