Name,Field Time,Position_DEF,Position_FWD,Position_GKP,Position_MID,Foot_left,Foot_right
F. Moubandje,32,1,0,0,0,1,0
G. Imbula,61,0,0,0,1,1,0
C. Jean,76,0,1,0,0,0,1
A. Lafont,90,0,0,1,0,0,1
A. Blin,90,0,0,0,1,0,1
K. Amian,90,1,0,0,0,0,1
I. Diop,90,1,0,0,0,0,1
Som\u00e1lia,90,0,0,0,1,0,1
C. Jullien,90,1,0,0,0,0,1
M. Gradel,90,0,1,0,0,0,1
A. Delort,90,0,1,0,0,0,1
S. Yago,58,1,0,0,0,0,1
O. Toivonen,29,0,1,0,0,0,1
Y. Sanogo,14,0,1,0,0,0,1
