Source,Target,Weight
A. Ljaji\u0107,C. Molinaro,3
Iago Falqu\u00e9,C. Molinaro,2
D. Baselli,T. Rinc\u00f3n,2
A. Belotti,A. Ljaji\u0107,2
C. Molinaro,A. Ljaji\u0107,2
C. Molinaro,M. Niang,2
A. Ljaji\u0107,Iago Falqu\u00e9,2
C. Ansaldi,Iago Falqu\u00e9,2
D. Baselli,Iago Falqu\u00e9,2
N. N'Koulou,C. Ansaldi,2
C. Ansaldi,N. N'Koulou,2
Iago Falqu\u00e9,N. N'Koulou,2
M. Niang,A. Ljaji\u0107,1
S. Sirigu,N. N'Koulou,1
T. Rinc\u00f3n,A. Belotti,1
N. N'Koulou,C. Molinaro,1
Iago Falqu\u00e9,D. Baselli,1
C. Ansaldi,T. Rinc\u00f3n,1
S. Sirigu,Iago Falqu\u00e9,1
M. Niang,Lyanco,1
T. Rinc\u00f3n,A. Ljaji\u0107,1
N. N'Koulou,D. Baselli,1
C. Molinaro,Iago Falqu\u00e9,1
D. Baselli,S. Sirigu,1
Lyanco,C. Ansaldi,1
Iago Falqu\u00e9,C. Ansaldi,1
A. Ljaji\u0107,D. Baselli,1
Lyanco,Iago Falqu\u00e9,1
A. Belotti,Iago Falqu\u00e9,1
M. Niang,Iago Falqu\u00e9,1
A. Belotti,T. Rinc\u00f3n,1
Iago Falqu\u00e9,A. Ljaji\u0107,1
T. Rinc\u00f3n,Iago Falqu\u00e9,1
C. Molinaro,A. Belotti,1
D. Baselli,C. Ansaldi,1
C. Molinaro,Lyanco,1
Iago Falqu\u00e9,M. Niang,1
D. Baselli,C. Molinaro,1
C. Ansaldi,D. Baselli,1
T. Rinc\u00f3n,C. Ansaldi,1
M. Niang,C. Molinaro,1
N. N'Koulou,A. Belotti,1
C. Molinaro,D. Baselli,1
A. Ljaji\u0107,T. Rinc\u00f3n,1
Iago Falqu\u00e9,T. Rinc\u00f3n,1
Iago Falqu\u00e9,S. Sirigu,1
Iago Falqu\u00e9,Lyanco,1
Lyanco,D. Baselli,1
A. Belotti,M. Niang,1
Iago Falqu\u00e9,A. Belotti,1
T. Rinc\u00f3n,Lyanco,1
T. Rinc\u00f3n,D. Baselli,1
Lyanco,A. Belotti,1
D. Baselli,A. Belotti,1
