city,name,wyId,officialName,area__name,area__id,area__alpha3code,area__alpha2code,type
Troyes,Troyes,3795,Esp\u00e9rance Sportive Troyes Aube Champagne,France,250,FRA,FR,club
Lyon,Olympique Lyonnais,3766,Olympique Lyonnais,France,250,FRA,FR,club
Paris,PSG,3767,Paris Saint-Germain FC,France,250,FRA,FR,club
Marseille,Olympique Marseille,3771,Olympique de Marseille,France,250,FRA,FR,club
La Chapelle-sur-Erdre,Nantes,3770,FC Nantes,France,250,FRA,FR,club
Nice,Nice,3775,O.G.C. Nice C\u00f4te d'Azur,France,250,FRA,FR,club
Rennes,Rennes,3774,Stade Rennais FC,France,250,FRA,FR,club
Strasbourg,Strasbourg,3779,RC Strasbourg Alsace,France,250,FRA,FR,club
Angers,Angers,3799,Angers SCO,France,250,FRA,FR,club
Le Haillan,Bordeaux,3772,FC Girondins de Bordeaux,France,250,FRA,FR,club
Dijon,Dijon,3804,Dijon FCO,France,250,FRA,FR,club
Metz,Metz,3777,FC Metz,France,250,FRA,FR,club
Saint-\u00c9tienne,Saint-\u00c9tienne,3782,AS Saint-\u00c9tienne,France,250,FRA,FR,club
Villeneuve-d'Ascq,Lille,3776,Lille OSC M\u00e9tropole,France,250,FRA,FR,club
Caen,Caen,3783,Stade Malherbe Caen,France,250,FRA,FR,club
Toulouse,Toulouse,3780,Toulouse FC,France,250,FRA,FR,club
Montpellier,Montpellier,3787,Montpellier HSC,France,250,FRA,FR,club
Guingamp,Guingamp,3785,En Avant Guingamp,France,250,FRA,FR,club
Amiens,Amiens SC,3789,Amiens SC,France,250,FRA,FR,club
