Source,Target,Weight
K. Havertz,J. Brandt,4
J. Brandt,B. Henrichs,3
B. Henrichs,L. Alario,3
J. Tah,B. Leno,2
J. Brandt,K. Bellarabi,2
J. Tah,B. Henrichs,2
J. Brandt,P. Retsos,2
J. Brandt,J. Tah,2
A. Mehmedi,L. Bender,2
L. Alario,K. Havertz,2
A. Mehmedi,J. Brandt,2
P. Retsos,A. Mehmedi,2
L. Bender,A. Mehmedi,2
J. Brandt,A. Mehmedi,2
K. Havertz,P. Retsos,2
B. Henrichs,J. Tah,2
P. Retsos,K. Havertz,2
B. Henrichs,L. Bender,2
P. Retsos,J. Brandt,2
J. Brandt,K. Havertz,2
A. Mehmedi,B. Henrichs,1
K. Bellarabi,A. Mehmedi,1
B. Henrichs,P. Retsos,1
L. Bender,B. Henrichs,1
B. Leno,B. Henrichs,1
L. Bender,J. Brandt,1
L. Bender,K. Bellarabi,1
L. Alario,B. Henrichs,1
B. Leno,J. Brandt,1
B. Henrichs,J. Brandt,1
K. Bellarabi,J. Brandt,1
L. Alario,K. Bellarabi,1
B. Henrichs,K. Bellarabi,1
K. Bellarabi,L. Bender,1
K. Bellarabi,S. Bender,1
S. Bender,K. Havertz,1
K. Bellarabi,B. Henrichs,1
J. Tah,L. Bender,1
K. Havertz,S. Bender,1
S. Bender,L. Bender,1
L. Bender,L. Alario,1
A. Mehmedi,J. Tah,1
A. Mehmedi,P. Retsos,1
