Name,Field Time,Position_DEF,Position_FWD,Position_GKP,Position_MID,Foot_right,Foot_left
N. Ke\u00efta,79,0,0,0,1,1,0
Y. Poulsen,84,0,1,0,0,1,0
W. Orban,90,1,0,0,0,1,0
P. Gul\u00e1csi,90,0,0,1,0,1,0
L. Klostermann,90,1,0,0,0,1,0
Bruma,90,0,1,0,0,1,0
K. Laimer,90,0,0,0,1,1,0
T. Werner,90,0,1,0,0,1,0
D. Upamecano,90,1,0,0,0,1,0
K. Kampl,90,0,0,0,1,1,0
S. Ilsanker,90,0,0,0,1,1,0
A. Lookman,11,0,0,0,1,1,0
J. Augustin,6,0,1,0,0,1,0
D. Kaiser,1,0,0,0,1,1,0
