Source,Target,Weight
S. Verdi,B. D\u017eemaili,3
S. De Maio,S. Verdi,2
E. Pulgar,S. De Maio,2
F. Helander,A. Mirante,2
A. Masina,R. Palacio,2
I. M'baye,M. Destro,1
A. Mirante,A. Masina,1
R. Palacio,F. Helander,1
B. D\u017eemaili,S. Verdi,1
M. Destro,F. Helander,1
S. Verdi,A. Masina,1
R. Palacio,I. M'baye,1
A. Mirante,S. Verdi,1
B. D\u017eemaili,S. De Maio,1
B. D\u017eemaili,A. Masina,1
E. Pulgar,B. D\u017eemaili,1
M. Destro,R. Palacio,1
A. Masina,F. Helander,1
A. Poli,M. Destro,1
E. Pulgar,S. Verdi,1
B. D\u017eemaili,E. Pulgar,1
R. Palacio,A. Masina,1
A. Masina,S. Verdi,1
S. De Maio,E. Pulgar,1
A. Masina,E. Pulgar,1
S. Verdi,A. Poli,1
F. Helander,B. D\u017eemaili,1
E. Pulgar,A. Masina,1
B. D\u017eemaili,R. Palacio,1
R. Palacio,E. Pulgar,1
