Name,Field Time,Position_DEF,Position_FWD,Position_GKP,Position_MID,Foot_left,Foot_right
N. Sansone,62,0,1,0,0,0,1
C. Bacca,80,0,1,0,0,0,1
Trigueros,89,0,0,0,1,0,1
Jaume Costa,90,1,0,0,0,1,0
E. \u00dcnal,90,0,1,0,0,0,1
A. Rukavina,90,1,0,0,0,0,1
Pablo Fornals,90,0,0,0,1,0,1
Andr\u00e9s Fern\u00e1ndez,90,0,0,1,0,0,1
\u00c1lvaro Gonz\u00e1lez,90,1,0,0,0,0,1
V\u00edctor Ru\u00edz,90,1,0,0,0,1,0
Rodri,90,0,0,0,1,0,1
L. Su\u00e1rez,28,0,0,0,1,1,0
A. N'Diaye,10,0,0,0,1,0,1
Dar\u00edo Poveda,1,0,1,0,0,0,1
