Source,Target,Weight
C. Salcedo,D. Abraham,6
M. Wolf,C. Salcedo,6
C. Salcedo,K. Boateng,5
S. Falette,D. Abraham,5
D. Abraham,K. Boateng,4
C. Salcedo,M. Wolf,4
D. Abraham,C. Salcedo,4
D. Abraham,S. Falette,4
K. Boateng,C. Salcedo,4
C. Salcedo,S. Falette,3
M. Stendera,C. Salcedo,3
K. Boateng,M. Stendera,3
D. Abraham,M. Stendera,3
K. Boateng,D. Abraham,2
L. Hradecky,C. Salcedo,2
M. Stendera,D. Abraham,2
S. Haller,M. Wolf,2
K. Boateng,M. Wolf,2
M. Ga\u0107inovi\u0107,D. Abraham,2
S. Falette,M. Stendera,2
S. Falette,C. Salcedo,1
M. Wolf,S. Haller,1
S. Haller,C. Salcedo,1
S. Falette,L. Hradecky,1
M. Stendera,M. Wolf,1
C. Salcedo,L. Hradecky,1
C. Salcedo,M. Ga\u0107inovi\u0107,1
M. Stendera,K. Boateng,1
A. Rebi\u0107,K. Boateng,1
M. Stendera,M. Ga\u0107inovi\u0107,1
M. Wolf,D. Abraham,1
S. Falette,S. Haller,1
D. Abraham,A. Rebi\u0107,1
C. Salcedo,S. Haller,1
M. Wolf,M. Stendera,1
C. Salcedo,M. Stendera,1
M. Ga\u0107inovi\u0107,M. Wolf,1
J. Willems,S. Falette,1
A. Rebi\u0107,M. Stendera,1
K. Boateng,S. Falette,1
J. Willems,A. Rebi\u0107,1
A. Rebi\u0107,C. Salcedo,1
M. Wolf,M. Ga\u0107inovi\u0107,1
M. Stendera,J. Willems,1
M. Ga\u0107inovi\u0107,K. Boateng,1
D. Abraham,M. Ga\u0107inovi\u0107,1
S. Falette,K. Boateng,1
K. Boateng,M. Ga\u0107inovi\u0107,1
D. Abraham,J. Willems,1
D. Abraham,L. Hradecky,1
M. Ga\u0107inovi\u0107,A. Rebi\u0107,1
L. Hradecky,S. Falette,1
M. Stendera,S. Falette,1
