Name,Field Time,Position_DEF,Position_GKP,Position_MID,Foot_left,Foot_right,Position_FWD
Y. Cabaye,90,0,0,1,0,1,0
W. Hennessey,90,0,1,0,0,1,0
L. Milivojevi\u0107,90,0,0,1,0,1,0
M. Sakho,90,1,0,0,1,0,0
P. van Aanholt,90,1,0,0,1,0,0
A. Townsend,90,0,0,1,1,0,0
J. McArthur,90,0,0,1,0,1,0
R. Loftus-Cheek,90,0,0,1,0,1,0
A. Wan-Bissaka,90,1,0,0,0,1,0
W. Zaha,90,0,0,1,0,1,0
J. Tomkins,90,1,0,0,0,1,0
