Source,Target,Weight
J. Holebas,A. Doucour\u00e9,4
T. Cleverley,A. Doucour\u00e9,4
A. Doucour\u00e9,J. Holebas,3
A. Carrillo,T. Cleverley,3
C. Kabasele,J. Holebas,3
A. Doucour\u00e9,S. Pr\u00f6dl,2
A. Doucour\u00e9,T. Cleverley,2
A. Doucour\u00e9,C. Kabasele,2
T. Cleverley,J. Holebas,2
A. Mariappa,D. Janmaat,2
J. Holebas,Richarlison,2
A. Mariappa,A. Carrillo,2
T. Cleverley,A. Carrillo,2
D. Janmaat,T. Cleverley,2
J. Holebas,A. Carrillo,2
A. Doucour\u00e9,A. Mariappa,1
Richarlison,A. Doucour\u00e9,1
T. Cleverley,D. Janmaat,1
A. Mariappa,Richarlison,1
C. Kabasele,A. Mariappa,1
Richarlison,T. Cleverley,1
T. Cleverley,A. Mariappa,1
D. Janmaat,A. Carrillo,1
T. Cleverley,C. Kabasele,1
D. Janmaat,A. Mariappa,1
S. Pr\u00f6dl,A. Mariappa,1
T. Deeney,T. Cleverley,1
S. Pr\u00f6dl,T. Cleverley,1
J. Holebas,A. Mariappa,1
S. Pr\u00f6dl,C. Kabasele,1
S. Pr\u00f6dl,J. Holebas,1
A. Carrillo,D. Janmaat,1
A. Carrillo,S. Pr\u00f6dl,1
A. Carrillo,A. Mariappa,1
C. Kabasele,S. Pr\u00f6dl,1
A. Mariappa,S. Pr\u00f6dl,1
A. Doucour\u00e9,A. Carrillo,1
Richarlison,C. Kabasele,1
A. Carrillo,T. Deeney,1
S. Pr\u00f6dl,A. Doucour\u00e9,1
D. Janmaat,C. Kabasele,1
Richarlison,J. Holebas,1
C. Kabasele,Richarlison,1
A. Doucour\u00e9,D. Janmaat,1
A. Mariappa,A. Doucour\u00e9,1
J. Holebas,T. Cleverley,1
A. Carrillo,Richarlison,1
