Name,Field Time,Position_DEF,Position_FWD,Position_GKP,Position_MID,Foot_left,Foot_right
M. Brozovi\u0107,46,0,0,0,1,0,1
D. D'Ambrosio,77,1,0,0,0,0,1
Jo\u00e3o Miranda,80,1,0,0,0,0,1
Borja Valero,90,0,0,0,1,0,1
S. Handanovi\u010d,90,0,0,1,0,0,1
A. Candreva,90,0,0,0,1,0,1
M. \u0160kriniar,90,1,0,0,0,0,1
M. Icardi,90,0,1,0,0,0,1
I. Peri\u0161i\u0107,90,0,0,0,1,0,1
R. Gagliardini,90,0,0,0,1,0,1
Jo\u00e3o Cancelo,90,1,0,0,0,0,1
Eder,44,0,1,0,0,0,1
Dalbert,13,1,0,0,0,1,0
Jo\u00e3o M\u00e1rio,10,0,0,0,1,0,1
