Name,Field Time,Position_DEF,Position_GKP,Position_MID,Foot_left,Foot_right,Position_FWD
S. Milinkovi\u0107-Savi\u0107,65,0,0,1,0,1,0
Nani,72,0,0,1,0,1,0
M. Parolo,86,0,0,1,0,1,0
T. Strakosha,90,0,1,0,0,1,0
Felipe Anderson,90,0,0,1,0,1,0
Wallace,90,1,0,0,0,1,0
J. Lukaku,90,1,0,0,1,0,0
\u015e. Radu,90,1,0,0,1,0,0
S. de Vrij,90,1,0,0,0,1,0
Lucas Leiva,90,0,0,1,0,1,0
D. Basta,90,1,0,0,0,1,0
S. Luli\u0107,25,0,0,1,0,1,0
Luis Alberto,18,0,0,1,0,1,0
A. Murgia,4,0,0,1,0,1,0
