Source,Target,Weight
Y. Carrasco,\u00c1. Correa,2
Y. Carrasco,L. Vietto,2
Y. Carrasco,S. Savi\u0107,1
N. Gait\u00e1n,Koke,1
\u00c1. Correa,Koke,1
\u00c1. Correa,Y. Carrasco,1
J. Gim\u00e9nez,L. Hern\u00e1ndez,1
Sa\u00fal,N. Gait\u00e1n,1
S. Savi\u0107,Y. Carrasco,1
Koke,Sa\u00fal,1
N. Gait\u00e1n,Y. Carrasco,1
Koke,N. Gait\u00e1n,1
Sa\u00fal,Y. Carrasco,1
N. Gait\u00e1n,L. Vietto,1
\u00c1. Correa,J. Gim\u00e9nez,1
Koke,\u00c1. Correa,1
L. Vietto,L. Hern\u00e1ndez,1
L. Hern\u00e1ndez,N. Gait\u00e1n,1
L. Vietto,Y. Carrasco,1
L. Hern\u00e1ndez,Sa\u00fal,1
