Name,Field Time,Position_DEF,Position_FWD,Position_GKP,Position_MID,Foot_left,Foot_right
A. Candreva,59,0,0,0,1,0,1
Borja Valero,68,0,0,0,1,0,1
D. D'Ambrosio,87,1,0,0,0,0,1
S. Handanovi\u010d,90,0,0,1,0,0,1
Jo\u00e3o Miranda,90,1,0,0,0,0,1
M. \u0160kriniar,90,1,0,0,0,0,1
M. Icardi,90,0,1,0,0,0,1
M. Brozovi\u0107,90,0,0,0,1,0,1
I. Peri\u0161i\u0107,90,0,0,0,1,0,1
R. Gagliardini,90,0,0,0,1,0,1
Jo\u00e3o Cancelo,90,1,0,0,0,0,1
Rafinha,31,0,0,0,1,1,0
Y. Karamoh,22,0,1,0,0,0,1
A. Ranocchia,3,1,0,0,0,0,1
