Source,Target,Weight
C. Kouyat\u00e9,W. Reid,3
A. Carroll,W. Reid,3
W. Reid,M. Arnautovi\u0107,3
M. Lanzini,C. Kouyat\u00e9,3
Jos\u00e9 Fonte,W. Reid,3
C. Kouyat\u00e9,Jos\u00e9 Fonte,3
W. Reid,A. Carroll,3
A. Cresswell,W. Reid,3
W. Reid,J. Hern\u00e1ndez,3
J. Hern\u00e1ndez,W. Reid,2
M. Arnautovi\u0107,M. Lanzini,2
A. Carroll,C. Kouyat\u00e9,2
W. Reid,A. Cresswell,2
W. Reid,C. Kouyat\u00e9,2
C. Kouyat\u00e9,M. Arnautovi\u0107,1
Jos\u00e9 Fonte,P. Zabaleta,1
C. Kouyat\u00e9,M. Lanzini,1
M. Lanzini,W. Reid,1
Jos\u00e9 Fonte,M. Antonio,1
W. Reid,M. Lanzini,1
P. Zabaleta,M. Antonio,1
Jos\u00e9 Fonte,A. Carroll,1
J. Hern\u00e1ndez,M. Antonio,1
J. Hart,C. Kouyat\u00e9,1
M. Antonio,M. Lanzini,1
M. Antonio,P. Zabaleta,1
M. Antonio,A. Carroll,1
P. Zabaleta,A. Cresswell,1
M. Lanzini,Jos\u00e9 Fonte,1
A. Cresswell,J. Hart,1
M. Lanzini,J. Hern\u00e1ndez,1
A. Carroll,J. Hart,1
C. Kouyat\u00e9,A. Cresswell,1
J. Hern\u00e1ndez,M. Lanzini,1
M. Lanzini,P. Zabaleta,1
A. Cresswell,C. Kouyat\u00e9,1
M. Antonio,A. Cresswell,1
J. Hart,M. Antonio,1
P. Zabaleta,M. Lanzini,1
J. Hart,A. Carroll,1
M. Arnautovi\u0107,M. Antonio,1
C. Kouyat\u00e9,J. Hart,1
M. Arnautovi\u0107,Jos\u00e9 Fonte,1
W. Reid,Jos\u00e9 Fonte,1
