Name,Field Time,Position_DEF,Position_FWD,Position_GKP,Position_MID,Foot_left,Foot_right
D\u00eddac Vil\u00e1,54,1,0,0,0,1,0
P. Piatti,63,0,1,0,0,1,0
L\u00e9o Baptist\u00e3o,82,0,1,0,0,0,1
Javi L\u00f3pez,90,1,0,0,0,0,1
Naldo,90,1,0,0,0,0,1
V\u00edctor S\u00e1nchez,90,0,0,0,1,0,1
Marc Roca,90,0,0,0,1,1,0
David L\u00f3pez,90,1,0,0,0,0,1
Diego L\u00f3pez,90,0,0,1,0,0,1
Gerard Moreno,90,0,1,0,0,1,0
Sergio Garc\u00eda,90,0,1,0,0,0,1
Aar\u00f3n,36,1,0,0,0,1,0
\u00d3scar Melendo,27,0,0,0,1,1,0
Sergi Darder,8,0,0,0,1,0,1
