Name,Field Time,Position_DEF,Position_FWD,Position_GKP,Position_MID,Foot_left,Foot_right
A. Halilovi\u0107,46,0,0,0,1,1,0
M. Aguirregaray,46,1,0,0,0,0,1
I. Ezekiel,71,0,1,0,0,0,1
O. Etebo,90,0,1,0,0,0,1
J. Calleri,90,0,1,0,0,0,1
Javi Castellano,90,0,0,0,1,0,1
David Garc\u00eda,90,1,0,0,0,0,1
Vicente G\u00f3mez,90,0,0,0,1,1,0
G\u00e1lvez,90,1,0,0,0,0,1
Ra\u00fal Lizo\u00e1in,90,0,0,1,0,1,0
David Sim\u00f3n,90,1,0,0,0,0,1
Jairo Samperio,44,0,0,0,1,0,1
Nacho Gil,44,0,1,0,0,0,1
H. Toledo,19,0,1,0,0,0,1
