Name,Field Time,Position_DEF,Position_FWD,Position_GKP,Position_MID,Foot_left,Foot_right
Kike Garc\u00eda,46,0,1,0,0,0,1
G. Escalante,69,0,0,0,1,0,1
David Junc\u00e0,74,1,0,0,0,1,0
Ander Capa,90,1,0,0,0,0,1
Rub\u00e9n Pe\u00f1a,90,0,0,0,1,0,1
Pedro Le\u00f3n,90,0,0,0,1,0,1
Paulo Oliveira,90,1,0,0,0,0,1
P. Diop,90,0,0,0,1,0,1
M. Dmitrovi\u0107,90,0,0,1,0,1,0
F. Orellana,90,0,0,0,1,0,1
Lomb\u00e1n,90,1,0,0,0,0,1
Charles,44,0,1,0,0,0,1
Joan Jord\u00e1n,21,0,0,0,1,0,1
Iv\u00e1n Alejo,16,0,0,0,1,0,1
