Name,Field Time,Position_DEF,Position_FWD,Position_GKP,Position_MID,Foot_both,Foot_left,Foot_right
B. Martins Indi,51,1,0,0,0,0,1,0
D. Fletcher,69,0,0,0,1,0,0,1
E. Choupo-Moting,69,0,1,0,0,1,0,0
M. Diouf,90,0,1,0,0,0,0,1
X. Shaqiri,90,0,0,0,1,0,1,0
R. Shawcross,90,1,0,0,0,0,0,1
J. Butland,90,0,0,1,0,0,0,1
E. Pieters,90,1,0,0,0,0,1,0
P. Crouch,90,0,1,0,0,0,0,1
K. Zouma,90,1,0,0,0,0,0,1
J. Allen,90,0,0,0,1,0,0,1
K. Wimmer,39,1,0,0,0,0,1,0
I. Afellay,21,0,0,0,1,0,0,1
Ramadan Sobhi,21,0,0,0,1,0,0,1
