Name,Field Time,Position_DEF,Position_GKP,Position_MID,Foot_left,Foot_right,Position_FWD
R. Danz\u00e9,56,1,0,0,0,1,0
A. Hunou,76,0,0,1,0,1,0
R. Bensebaini,90,1,0,0,1,0,0
B. Bourigeaud,90,0,0,1,0,1,0
S. Prci\u0107,90,0,0,1,0,1,0
I. Sarr,90,0,0,1,0,1,0
M. Zeffane,90,1,0,0,0,1,0
B. Andr\u00e9,90,0,0,1,0,1,0
T. Koubek,90,0,1,0,0,1,0
J. Gnagnon,90,1,0,0,0,1,0
J. Gelin,90,1,0,0,0,1,0
Y. Gourcuff,34,0,0,1,0,1,0
F. Maouassa,14,0,0,1,1,0,0
