city,name,wyId,officialName,area__name,area__id,area__alpha3code,area__alpha2code,type
Ferrara,SPAL,3204,Societ\u00e0 Polisportiva Ars et Labor 2013,Italy,380,ITA,IT,club
Milano,Milan,3157,AC Milan,Italy,380,ITA,IT,club
Torino,Juventus,3159,Juventus FC,Italy,380,ITA,IT,club
Roma,Roma,3158,AS Roma,Italy,380,ITA,IT,club
Sassuolo,Sassuolo,3315,US Sassuolo Calcio,Italy,380,ITA,IT,club
Bologna,Bologna,3166,Bologna FC 1909,Italy,380,ITA,IT,club
Genova,Sampdoria,3164,UC Sampdoria,Italy,380,ITA,IT,club
Verona,Chievo,3165,AC Chievo Verona,Italy,380,ITA,IT,club
Formello,Lazio,3162,SS Lazio,Italy,380,ITA,IT,club
Udine,Udinese,3163,Udinese Calcio,Italy,380,ITA,IT,club
Milano,Internazionale,3161,FC Internazionale Milano,Italy,380,ITA,IT,club
Benevento,Benevento,3219,Benevento Calcio,Italy,380,ITA,IT,club
Cagliari,Cagliari,3173,Cagliari Calcio,Italy,380,ITA,IT,club
Ciserano,Atalanta,3172,Atalanta Bergamasca Calcio,Italy,380,ITA,IT,club
Firenze,Fiorentina,3176,ACF Fiorentina,Italy,380,ITA,IT,club
Torino,Torino,3185,Torino FC,Italy,380,ITA,IT,club
Castel Volturno,Napoli,3187,SSC Napoli,Italy,380,ITA,IT,club
Crotone,Crotone,3197,FC Crotone,Italy,380,ITA,IT,club
Verona,Hellas Verona,3194,Hellas Verona FC,Italy,380,ITA,IT,club
Genova,Genoa,3193,Genoa CFC,Italy,380,ITA,IT,club
