Name,Field Time,Position_DEF,Position_FWD,Position_GKP,Position_MID,Foot_both,Foot_left,Foot_right
M. Diouf,64,0,1,0,0,0,0,1
B. Martins Indi,74,1,0,0,0,0,1,0
E. Choupo-Moting,84,0,1,0,0,1,0,0
M. Bauer,90,1,0,0,0,0,0,1
B. N'Diaye,90,0,0,0,1,0,0,1
G. Cameron,90,1,0,0,0,0,0,1
X. Shaqiri,90,0,0,0,1,0,1,0
K. Stafylidis,90,1,0,0,0,0,1,0
J. Butland,90,0,0,1,0,0,0,1
K. Zouma,90,1,0,0,0,0,0,1
J. Allen,90,0,0,0,1,0,0,1
T. Campbell,26,0,1,0,0,0,1,0
C. Adam,16,0,0,0,1,0,1,0
G. Johnson,6,1,0,0,0,0,0,1
