Source,Target,Weight
D. Wass,Jozabed,2
Hugo Mallo,Maxi G\u00f3mez,2
Brais M\u00e9ndez,Hugo Mallo,2
Jozabed,G. Cabral,2
Jozabed,Brais M\u00e9ndez,2
Hugo Mallo,D. Wass,2
G. Cabral,Jonny,2
Maxi G\u00f3mez,Jonny,2
Hugo Mallo,S. Lobotka,2
Jozabed,Hugo Mallo,2
D. Wass,Brais M\u00e9ndez,2
Hugo Mallo,Brais M\u00e9ndez,2
D. Wass,Hugo Mallo,2
Jonny,P. Sisto,2
Brais M\u00e9ndez,Sergi G\u00f3mez,1
Sergio \u00c1lvarez,Hugo Mallo,1
G. Cabral,Sergio \u00c1lvarez,1
Brais M\u00e9ndez,Maxi G\u00f3mez,1
P. Sisto,G. Cabral,1
D. Wass,P. Sisto,1
Sergi G\u00f3mez,Sergio \u00c1lvarez,1
D. Wass,G. Cabral,1
Maxi G\u00f3mez,D. Wass,1
P. Sisto,Brais M\u00e9ndez,1
Jonny,D. Wass,1
Sergio \u00c1lvarez,G. Cabral,1
Brais M\u00e9ndez,Jozabed,1
S. Lobotka,Jonny,1
Sergi G\u00f3mez,Hugo Mallo,1
Jonny,Jozabed,1
Jonny,Sergio \u00c1lvarez,1
S. Lobotka,Sergio \u00c1lvarez,1
Maxi G\u00f3mez,S. Lobotka,1
Hugo Mallo,Jozabed,1
P. Sisto,Jozabed,1
D. Wass,Sergio \u00c1lvarez,1
S. Lobotka,P. Sisto,1
P. Sisto,Jonny,1
Brais M\u00e9ndez,S. Lobotka,1
G. Cabral,D. Wass,1
Sergi G\u00f3mez,Jozabed,1
Jozabed,D. Wass,1
P. Sisto,Maxi G\u00f3mez,1
Sergio \u00c1lvarez,P. Sisto,1
G. Cabral,Sergi G\u00f3mez,1
Jonny,Sergi G\u00f3mez,1
G. Cabral,S. Lobotka,1
Sergi G\u00f3mez,G. Cabral,1
Sergio \u00c1lvarez,Maxi G\u00f3mez,1
Brais M\u00e9ndez,D. Wass,1
S. Lobotka,Hugo Mallo,1
Maxi G\u00f3mez,Sergi G\u00f3mez,1
Sergio \u00c1lvarez,D. Wass,1
S. Lobotka,D. Wass,1
