Name,Field Time,Position_DEF,Position_FWD,Position_GKP,Position_MID,Foot_left,Foot_right
P. Jaroszy\u0144ski,58,1,0,0,0,1,0
M. Pucciarelli,78,0,1,0,0,0,1
A. Gamberini,80,1,0,0,0,0,1
N. Rigoni,90,0,0,0,1,0,1
N. Tomovi\u0107,90,1,0,0,0,0,1
P. Hetemaj,90,0,0,0,1,0,1
S. Sorrentino,90,0,0,1,0,0,1
E. Giaccherini,90,0,0,0,1,0,1
F. Depaoli,90,0,0,0,1,0,1
R. Inglese,90,0,1,0,0,0,1
I. Radovanovi\u0107,90,0,0,0,1,0,1
F. Cacciatore,32,1,0,0,0,0,1
M. St\u0119pi\u0144ski,12,0,1,0,0,0,1
D. Dainelli,10,1,0,0,0,0,1
