Name,Field Time,Position_DEF,Position_FWD,Position_GKP,Position_MID,Foot_left,Foot_right
Diego L\u00f3pez,44,0,0,1,0,0,1
P. Piatti,66,0,1,0,0,1,0
Sergi Darder,77,0,0,0,1,0,1
Aar\u00f3n,90,1,0,0,0,1,0
Granero,90,0,0,0,1,0,1
V\u00edctor S\u00e1nchez,90,0,0,0,1,0,1
Marc Navarro,90,1,0,0,0,0,1
David L\u00f3pez,90,1,0,0,0,0,1
\u00d3. Duarte,90,1,0,0,0,0,1
L\u00e9o Baptist\u00e3o,90,0,1,0,0,0,1
Gerard Moreno,90,0,1,0,0,1,0
Pau L\u00f3pez,46,0,0,1,0,1,0
\u00d3scar Melendo,24,0,0,0,1,1,0
Jurado,13,0,0,0,1,0,1
