Name,Field Time,Position_DEF,Position_FWD,Position_GKP,Position_MID,Foot_right,Foot_left
A. Lookman,64,0,0,0,1,1,0
Y. Poulsen,64,0,1,0,0,1,0
W. Orban,90,1,0,0,0,1,0
P. Gul\u00e1csi,90,0,0,1,0,1,0
L. Klostermann,90,1,0,0,0,1,0
N. Ke\u00efta,90,0,0,0,1,1,0
T. Werner,90,0,1,0,0,1,0
D. Upamecano,90,1,0,0,0,1,0
K. Kampl,90,0,0,0,1,1,0
D. Demme,90,0,0,0,1,1,0
S. Ilsanker,90,0,0,0,1,1,0
J. Augustin,26,0,1,0,0,1,0
Bruma,26,0,1,0,0,1,0
