Name,Field Time,Position_DEF,Position_FWD,Position_GKP,Position_MID,Foot_both,Foot_left,Foot_right
M. Diouf,23,0,1,0,0,0,0,1
K. Stafylidis,46,1,0,0,0,0,1,0
E. Choupo-Moting,64,0,1,0,0,1,0,0
M. Bauer,90,1,0,0,0,0,0,1
B. N'Diaye,90,0,0,0,1,0,0,1
G. Cameron,90,1,0,0,0,0,0,1
X. Shaqiri,90,0,0,0,1,0,1,0
J. Butland,90,0,0,1,0,0,0,1
K. Zouma,90,1,0,0,0,0,0,1
J. Allen,90,0,0,0,1,0,0,1
B. Martins Indi,90,1,0,0,0,0,1,0
E. Pieters,67,1,0,0,0,0,1,0
P. Crouch,44,0,1,0,0,0,0,1
Jes\u00e9 Rodr\u00edguez,26,0,1,0,0,0,0,1
