Source,Target,Weight
Manu Garc\u00eda,Fernando Pacheco,2
G. Marip\u00e1n,Manu Garc\u00eda,2
Mart\u00edn,Ibai G\u00f3mez,2
Ibai G\u00f3mez,Mart\u00edn,2
Rub\u00e9n Duarte,Alfonso Pedraza,2
Manu Garc\u00eda,Burgui,2
Ibai G\u00f3mez,Rub\u00e9n Duarte,2
Manu Garc\u00eda,Munir,2
Fernando Pacheco,Rub\u00e9n Duarte,2
Rub\u00e9n Duarte,G. Marip\u00e1n,2
Alfonso Pedraza,Ibai G\u00f3mez,2
Rub\u00e9n Duarte,Manu Garc\u00eda,2
Ibai G\u00f3mez,Manu Garc\u00eda,2
Munir,Ibai G\u00f3mez,2
Alexis,Fernando Pacheco,1
Fernando Pacheco,Alfonso Pedraza,1
Burgui,Alfonso Pedraza,1
Alfonso Pedraza,Burgui,1
Alexis,Alfonso Pedraza,1
Alfonso Pedraza,Munir,1
Alfonso Pedraza,Rub\u00e9n Duarte,1
Burgui,Ibai G\u00f3mez,1
Rub\u00e9n Duarte,Munir,1
G. Marip\u00e1n,Alexis,1
Manu Garc\u00eda,Mart\u00edn,1
G. Marip\u00e1n,Rub\u00e9n Duarte,1
Alfonso Pedraza,Manu Garc\u00eda,1
Ibai G\u00f3mez,G. Marip\u00e1n,1
Munir,Rub\u00e9n Duarte,1
Mart\u00edn,Alfonso Pedraza,1
G. Marip\u00e1n,Alfonso Pedraza,1
Munir,Mart\u00edn,1
Burgui,G. Marip\u00e1n,1
Mart\u00edn,Tom\u00e1s Pina,1
Manu Garc\u00eda,G. Marip\u00e1n,1
Tom\u00e1s Pina,Alexis,1
