Source,Target,Weight
Odriozola,A. Januzaj,5
\u00cd\u00f1igo Mart\u00ednez,Zubeld\u00eda,3
A. Januzaj,Odriozola,3
A. Januzaj,Xabi Prieto,3
Diego Llorente,A. Januzaj,3
Diego Llorente,Zubeld\u00eda,3
De La Bella,\u00cd\u00f1igo Mart\u00ednez,3
\u00cd\u00f1igo Mart\u00ednez,G. Rulli,3
De La Bella,Canales,3
Zubeld\u00eda,Diego Llorente,2
\u00cd\u00f1igo Mart\u00ednez,De La Bella,2
Xabi Prieto,\u00cd\u00f1igo Mart\u00ednez,2
Mikel Oyarzabal,\u00cd\u00f1igo Mart\u00ednez,2
Canales,De La Bella,2
Diego Llorente,Xabi Prieto,2
Canales,Diego Llorente,2
G. Rulli,\u00cd\u00f1igo Mart\u00ednez,2
Xabi Prieto,Diego Llorente,2
A. Januzaj,Mikel Oyarzabal,2
Diego Llorente,Odriozola,2
Willian Jos\u00e9,\u00cd\u00f1igo Mart\u00ednez,2
Canales,Zubeld\u00eda,2
Willian Jos\u00e9,Canales,2
Xabi Prieto,Odriozola,2
Mikel Oyarzabal,Diego Llorente,1
G. Rulli,Xabi Prieto,1
Willian Jos\u00e9,Odriozola,1
Mikel Oyarzabal,Willian Jos\u00e9,1
Xabi Prieto,De La Bella,1
Odriozola,Willian Jos\u00e9,1
A. Januzaj,Canales,1
Canales,\u00cd\u00f1igo Mart\u00ednez,1
G. Rulli,Zubeld\u00eda,1
Zubeld\u00eda,G. Rulli,1
Odriozola,G. Rulli,1
G. Rulli,Willian Jos\u00e9,1
Xabi Prieto,Canales,1
Zubeld\u00eda,Xabi Prieto,1
Mikel Oyarzabal,De La Bella,1
\u00cd\u00f1igo Mart\u00ednez,Xabi Prieto,1
\u00cd\u00f1igo Mart\u00ednez,Diego Llorente,1
Xabi Prieto,Willian Jos\u00e9,1
Zubeld\u00eda,\u00cd\u00f1igo Mart\u00ednez,1
De La Bella,Willian Jos\u00e9,1
\u00cd\u00f1igo Mart\u00ednez,Willian Jos\u00e9,1
Zubeld\u00eda,A. Januzaj,1
Zubeld\u00eda,Odriozola,1
De La Bella,Mikel Oyarzabal,1
Diego Llorente,Canales,1
Zubeld\u00eda,De La Bella,1
Odriozola,Diego Llorente,1
Willian Jos\u00e9,Diego Llorente,1
\u00cd\u00f1igo Mart\u00ednez,Canales,1
Odriozola,De La Bella,1
Canales,Xabi Prieto,1
\u00cd\u00f1igo Mart\u00ednez,Mikel Oyarzabal,1
Zubeld\u00eda,Mikel Oyarzabal,1
