Name,Field Time,Position_DEF,Position_FWD,Position_GKP,Position_MID,Foot_left,Foot_right
L\u00e9o Baptist\u00e3o,69,0,1,0,0,0,1
P. Piatti,74,0,1,0,0,1,0
Granero,80,0,0,0,1,0,1
Aar\u00f3n,90,1,0,0,0,1,0
V\u00edctor S\u00e1nchez,90,0,0,0,1,0,1
C. S\u00e1nchez,90,0,0,0,1,0,1
David L\u00f3pez,90,1,0,0,0,0,1
\u00d3. Duarte,90,1,0,0,0,0,1
Diego L\u00f3pez,90,0,0,1,0,0,1
Sergi Darder,90,0,0,0,1,0,1
Gerard Moreno,90,0,1,0,0,1,0
Sergio Garc\u00eda,21,0,1,0,0,0,1
Jurado,16,0,0,0,1,0,1
Marc Navarro,10,1,0,0,0,0,1
