Source,Target,Weight
T. Hern\u00e1ndez,Marcos Llorente,2
R. Varane,Marcos Llorente,2
A. Hakimi,K. Navas,2
K. Benzema,T. Hern\u00e1ndez,2
Lucas V\u00e1zquez,Marco Asensio,2
Marcos Llorente,A. Hakimi,2
A. Hakimi,Lucas V\u00e1zquez,2
Lucas V\u00e1zquez,Marcos Llorente,1
M. Kova\u010di\u0107,K. Benzema,1
Marcos Llorente,R. Varane,1
K. Navas,A. Hakimi,1
M. Kova\u010di\u0107,A. Hakimi,1
Marcos Llorente,G. Bale,1
Marco Asensio,Marcos Llorente,1
K. Navas,G. Bale,1
Marco Asensio,R. Varane,1
K. Navas,Marco Asensio,1
G. Bale,K. Benzema,1
Marcos Llorente,M. Kova\u010di\u0107,1
K. Benzema,M. Kova\u010di\u0107,1
T. Hern\u00e1ndez,Jes\u00fas Vallejo,1
M. Kova\u010di\u0107,T. Hern\u00e1ndez,1
Marcos Llorente,K. Navas,1
Marco Asensio,T. Hern\u00e1ndez,1
Jes\u00fas Vallejo,Marcos Llorente,1
R. Varane,Lucas V\u00e1zquez,1
Marcos Llorente,Marco Asensio,1
A. Hakimi,K. Benzema,1
Marco Asensio,A. Hakimi,1
T. Hern\u00e1ndez,K. Navas,1
K. Navas,R. Varane,1
