Source,Target,Weight
M. Harnik,M. Esser,1
M. Bakalorz,M. Esser,1
I. Bebou,M. Bakalorz,1
I. Bebou,M. Harnik,1
N. F\u00fcllkrug,I. Bebou,1
M. Esser,I. Bebou,1
Miiko Albornoz,S. San\u00e9,1
M. Esser,N. F\u00fcllkrug,1
M. Ostrzolek,J. Korb,1
Miiko Albornoz,M. Ostrzolek,1
S. San\u00e9,T. H\u00fcbers,1
J. Korb,M. Harnik,1
M. Esser,J. Korb,1
S. San\u00e9,M. Esser,1
T. H\u00fcbers,M. Bakalorz,1
M. Bakalorz,S. San\u00e9,1
J. Korb,L. Maina,1
I. Bebou,Miiko Albornoz,1
M. Bakalorz,I. Bebou,1
L. Maina,Miiko Albornoz,1
