Source,Target,Weight
Jonathan Cafu,Malcom,2
A. Mendy,V. Jovanovi\u0107,2
Ot\u00e1vio,Jonathan Cafu,2
Malcom,V. Jovanovi\u0107,2
L. Lerager,V. Jovanovi\u0107,2
V. Jovanovi\u0107,M. Gaji\u0107,2
B. Costil,A. Mendy,2
V. Vada,Ot\u00e1vio,2
Y. Sabaly,L. Lerager,2
V. Jovanovi\u0107,J. Toulalan,2
V. Jovanovi\u0107,Ot\u00e1vio,2
Jonathan Cafu,Ot\u00e1vio,1
V. Vada,M. Gaji\u0107,1
V. Vada,L. Lerager,1
L. Lerager,Ot\u00e1vio,1
Ot\u00e1vio,A. Mendy,1
M. Gaji\u0107,V. Vada,1
M. Gaji\u0107,Jonathan Cafu,1
J. Toulalan,B. Costil,1
B. Costil,V. Jovanovi\u0107,1
A. Mendy,V. Vada,1
Ot\u00e1vio,V. Vada,1
Jonathan Cafu,A. Mendy,1
L. Lerager,J. Toulalan,1
M. Gaji\u0107,V. Jovanovi\u0107,1
J. Toulalan,V. Vada,1
J. Toulalan,M. Gaji\u0107,1
V. Jovanovi\u0107,L. Lerager,1
L. Lerager,M. Gaji\u0107,1
M. Gaji\u0107,B. Costil,1
Malcom,Jonathan Cafu,1
Jonathan Cafu,Y. Sabaly,1
V. Jovanovi\u0107,B. Costil,1
A. Mendy,Jonathan Cafu,1
Y. Sabaly,Jonathan Cafu,1
Jonathan Cafu,V. Vada,1
V. Vada,J. Toulalan,1
J. Toulalan,Y. Sabaly,1
Ot\u00e1vio,Malcom,1
Ot\u00e1vio,Y. Sabaly,1
M. Gaji\u0107,L. Lerager,1
