Name,Field Time,Position_DEF,Position_FWD,Position_GKP,Position_MID,Foot_right,Foot_left
Borja Valero,71,0,0,0,1,1,0
A. Candreva,83,0,0,0,1,1,0
M. Icardi,87,0,1,0,0,1,0
D. D'Ambrosio,90,1,0,0,0,1,0
S. Handanovi\u010d,90,0,0,1,0,1,0
Jo\u00e3o Miranda,90,1,0,0,0,1,0
M. \u0160kriniar,90,1,0,0,0,1,0
I. Peri\u0161i\u0107,90,0,0,0,1,1,0
M. Vecino,90,0,0,0,1,1,0
Y. Nagatomo,90,1,0,0,0,1,0
R. Gagliardini,90,0,0,0,1,1,0
Jo\u00e3o M\u00e1rio,19,0,0,0,1,1,0
Jo\u00e3o Cancelo,7,1,0,0,0,1,0
Eder,3,0,1,0,0,1,0
