Source,Target,Weight
J. Aholou,P. Martinez,3
P. Martinez,J. Martin,2
J. Martin,D. Li\u00e9nard,2
P. Martinez,J. Blayac,2
J. Blayac,J. Aholou,2
S. Bahoken,J. Martin,2
J. Martin,S. Bahoken,2
E. Seka,J. Martin,2
J. Martin,P. Martinez,1
D. Li\u00e9nard,A. N'Dour,1
P. Martinez,A. N'Dour,1
J. Martin,J. Aholou,1
S. Bahoken,P. Martinez,1
A. N'Dour,J. Aholou,1
B. Kon\u00e9,S. Bahoken,1
J. Aholou,E. Seka,1
A. N'Dour,D. Li\u00e9nard,1
S. Bahoken,D. Li\u00e9nard,1
B. Corgnet,J. Martin,1
P. Martinez,S. Bahoken,1
D. Li\u00e9nard,J. Blayac,1
J. Blayac,E. Seka,1
S. Bahoken,B. Kon\u00e9,1
S. Bahoken,A. N'Dour,1
B. Kon\u00e9,E. Seka,1
A. N'Dour,S. Bahoken,1
J. Martin,J. Blayac,1
D. Li\u00e9nard,P. Martinez,1
A. N'Dour,P. Martinez,1
S. Bahoken,E. Seka,1
E. Seka,A. Oukidja,1
D. Li\u00e9nard,S. Bahoken,1
E. Seka,P. Martinez,1
A. Oukidja,J. Martin,1
E. Seka,A. N'Dour,1
J. Blayac,B. Corgnet,1
J. Martin,B. Corgnet,1
P. Martinez,B. Kon\u00e9,1
B. Corgnet,E. Seka,1
