Source,Target,Weight
R. Nainggolan,S. El Shaarawy,3
S. El Shaarawy,R. Nainggolan,2
D. De Rossi,R. Nainggolan,1
A. Florenzi,F. Fazio,1
F. Fazio,K. Strootman,1
R. Nainggolan,A. Florenzi,1
S. El Shaarawy,Juan Jesus,1
K. Strootman,E. D\u017eeko,1
K. Strootman,Juan Jesus,1
Juan Jesus,K. Strootman,1
S. El Shaarawy,A. Kolarov,1
F. Fazio,S. El Shaarawy,1
Juan Jesus,R. Nainggolan,1
A. Kolarov,D. De Rossi,1
K. Strootman,A. Florenzi,1
F. Fazio,R. Nainggolan,1
A. Florenzi,K. Strootman,1
S. El Shaarawy,D. De Rossi,1
F. Fazio,A. Florenzi,1
A. Florenzi,C. \u00dcnder,1
R. Nainggolan,F. Fazio,1
E. D\u017eeko,F. Fazio,1
D. De Rossi,S. El Shaarawy,1
C. \u00dcnder,E. D\u017eeko,1
