Source,Target,Weight
N. Mukiele,I. Mbenza,4
C. Ninga,F. P\u00edriz,3
F. P\u00edriz,N. Mukiele,3
P. Lasne,C. Ninga,3
K. Dolly,P. Lasne,2
F. P\u00edriz,K. Dolly,2
I. Mbenza,N. Mukiele,2
F. P\u00edriz,P. Lasne,2
R. Aguilar,C. Ninga,2
P. Lasne,R. Aguilar,2
R. Aguilar,P. Lasne,2
N. Mukiele,G. Sio,1
G. Sio,I. Mbenza,1
I. Mbenza,F. P\u00edriz,1
I. Mbenza,G. Sio,1
D. Congr\u00e9,P. Lasne,1
D. Congr\u00e9,F. P\u00edriz,1
F. P\u00edriz,Pedro Mendes,1
Pedro Mendes,D. Congr\u00e9,1
R. Aguilar,F. P\u00edriz,1
C. Ninga,D. Congr\u00e9,1
C. Ninga,K. Dolly,1
P. Lasne,K. Dolly,1
K. Dolly,R. Aguilar,1
N. Mukiele,P. Lasne,1
G. Sio,F. P\u00edriz,1
C. Ninga,N. Mukiele,1
Pedro Mendes,F. P\u00edriz,1
P. Lasne,F. P\u00edriz,1
F. P\u00edriz,B. Lecomte,1
K. Dolly,F. P\u00edriz,1
B. Lecomte,R. Aguilar,1
I. Mbenza,Pedro Mendes,1
Pedro Mendes,R. Aguilar,1
P. Lasne,N. Mukiele,1
N. Mukiele,Pedro Mendes,1
