Source,Target,Weight
G. Ferrari,M. Silvestre,5
V. Verre,G. Ferrari,5
M. Silvestre,G. Ferrari,4
F. Quagliarella,G. Ram\u00edrez,3
G. Ferrari,N. Murru,3
B. Bereszy\u0144ski,M. Silvestre,3
N. Murru,V. Verre,3
L. Torreira,G. Ram\u00edrez,2
N. Murru,L. Torreira,2
M. Silvestre,B. Bereszy\u0144ski,2
L. Torreira,M. Silvestre,2
V. Verre,F. Quagliarella,2
G. Ferrari,V. Verre,2
G. Ram\u00edrez,\u00c9. Barreto,2
\u00c9. Barreto,B. Bereszy\u0144ski,2
G. Ram\u00edrez,V. Verre,2
B. Bereszy\u0144ski,\u00c9. Barreto,2
L. Torreira,G. Ferrari,1
F. Quagliarella,N. Murru,1
G. Ferrari,E. Viviano,1
\u00c9. Barreto,L. Torreira,1
D. Zapata,V. Verre,1
F. Quagliarella,G. Ferrari,1
D. Zapata,B. Bereszy\u0144ski,1
L. Torreira,D. Zapata,1
E. Viviano,N. Murru,1
M. Silvestre,V. Verre,1
G. Ram\u00edrez,N. Murru,1
\u00c9. Barreto,G. Ferrari,1
N. Murru,G. Ferrari,1
M. Silvestre,\u00c9. Barreto,1
G. Ferrari,L. Torreira,1
B. Bereszy\u0144ski,F. Quagliarella,1
V. Verre,N. Murru,1
L. Torreira,F. Quagliarella,1
\u00c9. Barreto,G. Ram\u00edrez,1
B. Bereszy\u0144ski,G. Ram\u00edrez,1
V. Verre,L. Torreira,1
G. Ferrari,B. Bereszy\u0144ski,1
M. Silvestre,L. Torreira,1
N. Murru,B. Bereszy\u0144ski,1
G. Ram\u00edrez,L. Torreira,1
M. Silvestre,D. Zapata,1
