Name,Field Time,Position_DEF,Position_FWD,Position_GKP,Position_MID,Foot_left,Foot_right
Charles,72,0,1,0,0,0,1
Sergi Enrich,85,0,1,0,0,0,1
Ander Capa,90,1,0,0,0,0,1
T. Inui,90,0,0,0,1,0,1
Arbilla,90,1,0,0,0,0,1
Paulo Oliveira,90,1,0,0,0,0,1
Jos\u00e9 \u00c1ngel,90,1,0,0,0,1,0
Joan Jord\u00e1n,90,0,0,0,1,0,1
M. Dmitrovi\u0107,90,0,0,1,0,1,0
Dani Garc\u00eda,90,0,0,0,1,0,1
Iv\u00e1n Alejo,90,0,0,0,1,0,1
Kike Garc\u00eda,18,0,1,0,0,0,1
G. Escalante,5,0,0,0,1,0,1
Rub\u00e9n Pe\u00f1a,1,0,0,0,1,0,1
