Name,Field Time,Position_DEF,Position_FWD,Position_GKP,Position_MID,Foot_left,Foot_right
P. Piatti,46,0,1,0,0,1,0
L\u00e9o Baptist\u00e3o,69,0,1,0,0,0,1
Granero,81,0,0,0,1,0,1
Aar\u00f3n,90,1,0,0,0,1,0
Pau L\u00f3pez,90,0,0,1,0,1,0
V\u00edctor S\u00e1nchez,90,0,0,0,1,0,1
Marc Navarro,90,1,0,0,0,0,1
C. S\u00e1nchez,90,0,0,0,1,0,1
David L\u00f3pez,90,1,0,0,0,0,1
\u00d3. Duarte,90,1,0,0,0,0,1
Gerard Moreno,90,0,1,0,0,1,0
Sergi Darder,44,0,0,0,1,0,1
Sergio Garc\u00eda,21,0,1,0,0,0,1
D\u00eddac Vil\u00e1,9,1,0,0,0,1,0
